 index A + B → Y
26 : CNC(=O)C1=CC=CC=C1NC2=CC(=NC=C2C(F)(F)F)Cl + CC1=C(C(=NN1C)C)N → CC1=C(C(=NN1C)C)NC2=NC=C(C(=C2)NC3=CC=CC=C3C(=O)NC)C(F)(F)F
27 : CNC(=O)C1=CC=CC=C1NC2=CC(=NC=C2Cl)Cl + CC1=NN(C=C1N)C → CC1=NN(C=C1NC2=NC=C(C(=C2)NC3=CC=CC=C3C(=O)NC)Cl)C
28 : C1=CC=C(C=C1)I + COC1=C2C(=CC=C1)SC(=N2)N → COC1=C2C(=CC=C1)SC(=N2)NC3=CC=CC=C3
29 : C1=CC2=NC=CC(=C2C=C1Cl)Cl + CC(C)(C)OC(=O)NC1CCNCC1 → C1CN(CCC1N)C2=C3C=C(C=CC3=NC=C2)Cl
30 : C1=CC2=NC=C(N2C=C1)C3=NC(=NC=C3Cl)Cl + CC(C)(C)OC(=O)N1CC(C1)OC2=CC(=C(C=C2)N)OC → COC1=C(C=CC(=C1)OC2CNC2)NC3=NC=C(C(=N3)C4=CN=C5N4C=CC=C5)Cl
31 : C1=CN=C(C=C1Cl)Cl + C1=CC=C(C=C1)N → C1=CC=C(C=C1)NC2=NC=CC(=C2)Cl
32 : CNC(=O)C1=CC=CC=C1NC2=CC(=NC=C2C(F)(F)F)Cl + CN1C(=CC=N1)N → CNC(=O)C1=CC=CC=C1NC2=CC(=NC=C2C(F)(F)F)NC3=CC=NN3C
33 : C1=C(C(=CN=C1Cl)C(F)(F)F)I + CNC(=O)C1=CC=CC=C1N → CNC(=O)C1=CC=CC=C1NC2=CC(=NC=C2C(F)(F)F)Cl
34 : C1=CN=C(C=C1C(F)(F)F)Br + CC(C)(C)OC(=O)N1CCC(CC1)(CN=C(C2=CC=CC=C2)C3=CC=CC=C3)C(=O)N → CC(C)(C)OC(=O)N1CCC(CC1)(CN=C(C2=CC=CC=C2)C3=CC=CC=C3)C(=O)NC4=NC=CC(=C4)C(F)(F)F
35 : CC1=C(C=CC=C1Br)[N+](=O)[O-] + CC(=O)N1CCNCC1 → CC1=C(C=CC=C1[N+](=O)[O-])N2CCN(CC2)C(=O)C
36 : C1=C(C(=CN=C1Cl)Cl)I + CNC(=O)C1=C(C=CC(=C1)F)N → CNC(=O)C1=C(C=CC(=C1)F)NC2=CC(=NC=C2Cl)Cl
37 : C1CCC(CC1)NC(=O)C2=CN=C(C=C2)Cl + C1=CC(=CC=C1C#N)N → C1CCC(CC1)NC(=O)C2=CN=C(C=C2)NC3=CC=C(C=C3)C#N
38 : CONC(=O)C1=CC=CC=C1NC2=CC(=NC=C2C(F)(F)F)Cl + CC1=NN(C=C1N)C → CC1=NN(C=C1NC2=NC=C(C(=C2)NC3=CC=CC=C3C(=O)NOC)C(F)(F)F)C
39 : C1=CN=C(N=C1Cl)Cl + C1CC2=CC=CC=C2NC1 → C1CC2=CC=CC=C2N(C1)C3=NC(=NC=C3)Cl
40 : CNC(=O)C1=CC=CC=C1NC2=CC(=NC=C2C(F)(F)F)Cl + CC1=NN(C=C1N)C → CC1=NN(C=C1NC2=NC=C(C(=C2)NC3=CC=CC=C3C(=O)NC)C(F)(F)F)C
41 : C1=CC(=CC=C1C#N)C2=CSC(=N2)Br + C1COC(=O)N1 → C1COC(=O)N1C2=NC(=CS2)C3=CC=C(C=C3)C#N
42 : CC1=NN(C=C1N)C.Cl.Cl + CNC(=O)C1=C(C=C(C=C1)F)NC2=CC(=NC=C2Cl)Cl → CC1=NN(C=C1NC2=NC=C(C(=C2)NC3=C(C=CC(=C3)F)C(=O)NC)Cl)C
43 : C1CC1C(=O)NC2=NC=CC(=C2)Cl + C1OC2=CC=CC(=C2O1)N → C1CC1C(=O)NC2=NC=CC(=C2)NC3=C4C(=CC=C3)OCO4
44 : COC(=O)C1=CC=C(C=C1)OCC2=C(C=CC=N2)Br + CN1CCNCC1 → CN1CCN(CC1)C2=C(N=CC=C2)COC3=CC=C(C=C3)C(=O)OC
45 : C1=CC(=C(C=C1Cl)Br)C#N + CN(C)[C@H]1CCNC1 → CN(C)[C@H]1CCN(C1)C2=C(C=CC(=C2)Cl)C#N
46 : CC1=NN(C=C1NC2=NC=C(C(=C2)Cl)C#N)C + CN1CCC2=C(C1=O)C(=CC=C2)N → CC1=NN(C=C1NC2=NC=C(C(=C2)NC3=CC=CC4=C3C(=O)N(CC4)C)C#N)C
47 : CNC(=O)C1=CC=CC=C1NC2=CC(=NC=C2Cl)Cl + COC1=C(C=CC(=C1)N2CCOCC2)N → CNC(=O)C1=CC=CC=C1NC2=CC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCOCC4)OC
48 : CC1=C(C=CC(=C1)F)Br + CC(C)(C)OC(=O)N1CCNCC1 → CC1=C(C=CC(=C1)F)N2CCN(CC2)C(=O)OC(C)(C)C
49 : C1=CC(=C(C=C1F)C(F)(F)F)Br + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=C(C=C(C=C2)F)C(F)(F)F
50 : COC1=C(C=C(C=C1)Br)[N+](=O)[O-] + CC(=O)N1CC2CNCC(C1)O2 → CC(=O)N1CC2CN(CC(C1)O2)C3=CC(=C(C=C3)OC)[N+](=O)[O-]
51 : CC1=C(C(=NC(=N1)N)Cl)CC2=CC=C(C=C2)CC#N + CCC[C@@H](CO)N → CCC[C@@H](CO)NC1=NC(=NC(=C1CC2=CC=C(C=C2)CC#N)C)N
52 : CC1=C(C(=NC(=N1)/N=C/N(C)C)Cl)CC2=CC=C(C=C2)CC#N + CC[C@H]1CNC(=O)O1 → CC[C@H]1CN(C(=O)O1)C2=NC(=NC(=C2CC3=CC=C(C=C3)CC#N)C)/N=C/N(C)C
53 : C1=C(C(=CN=C1Cl)Cl)I + CNC(=O)C1=C(C=C(C=C1)F)N → CNC(=O)C1=C(C=C(C=C1)F)NC2=CC(=NC=C2Cl)Cl
54 : CS(=O)(=O)C1=CC=C(C=C1)COC2=NC=C(C=N2)Br + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CN=C(N=C2)OCC3=CC=C(C=C3)S(=O)(=O)C
55 : CS(=O)(=O)C1=CC=C(C=C1)COC2=NC=C(C=C2)Br + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CN=C(C=C2)OCC3=CC=C(C=C3)S(=O)(=O)C
56 : CCOC(=O)C1=CC2=C(O1)C(=CC=C2)Br + CC(=O)N1CCC2=C1C=CC(=C2)CCN3CCNCC3 → CCOC(=O)C1=CC2=C(O1)C(=CC=C2)N3CCN(CC3)CCC4=CC5=C(C=C4)N(CC5)C(=O)C
57 : CCOC(=O)C1=CC2=C(O1)C(=CC=C2)Br + C1CN(CCN1)CCC2=CC=CC=N2 → CCOC(=O)C1=CC2=C(O1)C(=CC=C2)N3CCN(CC3)CCC4=CC=CC=N4
58 : C1=CC=C(C=C1)COC2=CN=C(C=C2)Cl + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=NC=C(C=C2)OCC3=CC=CC=C3
59 : C1=CC(=CC(=C1)OC(F)(F)F)C2=CN=C3N2N=C(C=C3)Cl.Cl + CN1CCC(CC1)CN → CN1CCC(CC1)CNC2=NN3C(=NC=C3C4=CC(=CC=C4)OC(F)(F)F)C=C2
60 : CCOC(=O)C1=C(C2=CC(=C(C=C2N=C1)OCCOC)Br)NC3=C(C=C(C=C3)C)F + C1COCCN1 → CCOC(=O)C1=C(C2=CC(=C(C=C2N=C1)OCCOC)N3CCOCC3)NC4=C(C=C(C=C4)C)F
61 : C1=CC=C(C=C1)COC2=CC=C(C=C2)Br + C[C@@H]1CN(CCN1)C(=O)OC(C)(C)C → C[C@@H]1CN(CCN1C2=CC=C(C=C2)OCC3=CC=CC=C3)C(=O)OC(C)(C)C
62 : C1=CC(=C(C=C1Br)F)C#N + C1CCNCC1 → C1CCN(CC1)C2=CC(=C(C=C2)C#N)F
63 : C[C@H](C1=CC=C(C=C1)Br)NC(=O)OC(C)(C)C + C1=CN=CC=C1C2=CC3=CN=C(N=C3C(=C2)Cl)N → C[C@H](C1=CC=C(C=C1)NC2=NC=C3C=C(C=C(C3=N2)Cl)C4=CC=NC=C4)NC(=O)OC(C)(C)C
64 : CC(C)OC(=O)N1CCC(CC1)OC2=C(C(=NC=N2)Cl)OC + CC1=C(C=CC(=N1)N2C=NC=N2)N → CC1=C(C=CC(=N1)N2C=NC=N2)NC3=C(C(=NC=N3)OC4CCN(CC4)C(=O)OC(C)C)OC
65 : C1=CC2=NC=C(N2C=C1)C3=NC(=NC=C3Cl)Cl + CC(=O)N1CCN(CC1)C2=C(C=C(C(=C2)OC)N)OC → CC(=O)N1CCN(CC1)C2=C(C=C(C(=C2)OC)NC3=NC=C(C(=N3)C4=CN=C5N4C=CC=C5)Cl)OC
66 : CC(=O)N1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)C4=CN=C5N4C=CC(=C5)Cl)Cl)OC + C1CCNC1 → CC(=O)N1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)C4=CN=C5N4C=CC(=C5)N6CCCC6)Cl)OC
67 : CC1=C(N=CN=C1Cl)OC2CCN(CC2)C(=O)OC(C)C + CC1=C(C=CC(=N1)S(=O)(=O)C)N → CC1=C(N=CN=C1OC2CCN(CC2)C(=O)OC(C)C)NC3=C(N=C(C=C3)S(=O)(=O)C)C
68 : C1=C(C=NC=C1Br)N + C1COCCN1 → C1COCCN1C2=CN=CC(=C2)N
69 : CC(C1=C(C=C(C=N1)F)F)NC2=C(C(=NC(=N2)Cl)N3CCOCC3)F + CC1=CC(=NN1C(=O)OC(C)(C)C)N → CC1=CC(=NN1)NC2=NC(=C(C(=N2)N3CCOCC3)F)NC(C)C4=C(C=C(C=N4)F)F
70 : C1=CC(=CN=C1)Br + C1CNCCN1 → C1CN(CCN1)C2=CN=CC=C2
71 : C1=CC=C(C=C1)COC2=NC(=CC=C2)Br + C1COCCN1 → C1COCCN1C2=NC(=CC=C2)OCC3=CC=CC=C3
72 : CN1CCC2=C(C1=O)C(=CC=C2)NC3=CC(=NC=C3Cl)Cl + CN1C(=CC=N1)N → CN1CCC2=C(C1=O)C(=CC=C2)NC3=CC(=NC=C3Cl)NC4=CC=NN4C
73 : C1COCCN1C2=CC(=O)N3C=CC=C(C3=N2)C4=CC=CC5=C4SC6=C5C=C(C=C6)OS(=O)(=O)C(F)(F)F + CC(C)(C)OC(=O)NC → CC(C)(C)OC(=O)N(C)C1=CC2=C(C=C1)SC3=C2C=CC=C3C4=CC=CN5C4=NC(=CC5=O)N6CCOCC6
74 : C1=CC2=NN=C(N2C=C1Br)C(F)(F)F + COC1=CC(=CC=C1)OC2CCNCC2.Cl → COC1=CC(=CC=C1)OC2CCN(CC2)C3=CN4C(=NN=C4C(F)(F)F)C=C3
75 : C1=CC2=NN=C(N2C=C1Br)C(F)(F)F + CN1C(=CC=N1)CCOC2=CC=C(C=C2)C3CCNCC3 → CN1C(=CC=N1)CCOC2=CC=C(C=C2)C3CCN(CC3)C4=CN5C(=NN=C5C(F)(F)F)C=C4
76 : C1=CC(=C(C=C1Cl)Cl)I + C1CNCCC1CO → C1CN(CCC1CO)C2=C(C=C(C=C2)Cl)Cl
77 : C1=CC=C(C=C1)I + CN(C)CCN → CN(C)CCNC1=CC=CC=C1
78 : COC1=NC=CC(=C1)Br + CC(C)(C)OC(=O)NC1CNC1 → CC(C)(C)OC(=O)NC1CN(C1)C2=CC(=NC=C2)OC
79 : CC1=NN(C=C1NC2=NC=C(C(=C2)I)C(F)(F)F)C + CN1CCC2=C(C1=O)C(=CC=C2)N → CC1=NN(C=C1NC2=NC=C(C(=C2)NC3=CC=CC4=C3C(=O)N(CC4)C)C(F)(F)F)C
80 : CC1=NN(C=C1NC2=NC=C(C(=C2)I)C(F)(F)F)C + CNC(=O)C1=CC=CC=C1N → CC1=NN(C=C1NC2=NC=C(C(=C2)NC3=CC=CC=C3C(=O)NC)C(F)(F)F)C
81 : CC1=NN(C=C1NC2=NC=C(C(=C2)I)C(F)(F)F)C + CNC(=O)C1=C(C=CC=C1OC)N → CC1=NN(C=C1NC2=NC=C(C(=C2)NC3=C(C(=CC=C3)OC)C(=O)NC)C(F)(F)F)C
82 : CC1=NN(C=C1NC2=NC=C(C(=C2)I)C(F)(F)F)C + CN1CCOC2=CC=CC(=C2C1=O)N → CC1=NN(C=C1NC2=NC=C(C(=C2)NC3=C4C(=CC=C3)OCCN(C4=O)C)C(F)(F)F)C
83 : C1=CC(=NC(=C1Br)Cl)Cl + C1=CC=C(C=C1)N → C1=CC=C(C=C1)NC2=C(N=C(C=C2)Cl)Cl
84 : C1=C(C=C(N=C1Cl)Cl)C(=O)O + CC(C)(C)OC(=O)N → CC(C)(C)OC(=O)NC1=NC(=CC(=C1)C(=O)O)Cl
85 : C1=CN=C(C=C1Cl)Cl + CN1C(=CC=N1)N → CN1C(=CC=N1)NC2=NC=CC(=C2)Cl
86 : C1=CC(=NC(=C1I)Cl)Cl + C1=CC=C(C=C1)N → C1=CC=C(C=C1)NC2=C(N=C(C=C2)Cl)Cl
87 : COC(=O)C1=CC(=CC=C1)Br + CC(C)(C)OC(=O)NC1CCNCC1 → CC(C)(C)OC(=O)NC1CCN(CC1)C2=CC=CC(=C2)C(=O)OC
88 : C1=CN=C(C=C1F)Cl + CC(C)(C)OC(=O)N → C1=CN=C(C=C1F)N
89 : C1=CN2C(=CN=C2C(=C1)F)C3=NC(=NC=C3Cl)Cl + CC(C)(C)OC(=O)CN(C)C1=CC(=C(C=C1)N)OC → CC(C)(C)OC(=O)CN(C)C1=CC(=C(C=C1)NC2=NC=C(C(=N2)C3=CN=C4N3C=CC=C4F)Cl)OC
90 : C1=C(C(=CN=C1Cl)C(F)(F)F)I + CNC(=O)C1=C(C=CC=C1OC)N → CNC(=O)C1=C(C=CC=C1OC)NC2=CC(=NC=C2C(F)(F)F)Cl
91 : CC(C)(C)OC(=O)NC1=CC(=CN=C1)I + C1COCCN1 → C1COCCN1C2=CN=CC(=C2)N
92 : C1=CC(=C(C=C1CO)Br)F + C1=CN=C(N=C1N)Cl → C1=CC(=C(C=C1CO)NC2=NC(=NC=C2)Cl)F
93 : COC1=CC=C(C=C1)Br + " CC(C)(C(=O)OC)N" → CC(C)(C(=O)OC)NC1=CC=C(C=C1)OC
94 : C1=CC(=CC=C1C(F)(F)F)Cl + " CC(C)(C(=O)OC)N" → CC(C)(C(=O)OC)NC1=CC=C(C=C1)C(F)(F)F
95 : CC1=CC=C(C=C1)Cl + " CC(C)(C(=O)OC)N" → CC1=CC=C(C=C1)NC(C)(C)C(=O)OC
96 : CONC(=O)C1=CC=CC=C1NC2=CC(=NC=C2Cl)Cl + CC1=NN(C(=C1)N)C(C)C → CC1=NN(C(=C1)NC2=NC=C(C(=C2)NC3=CC=CC=C3C(=O)NOC)Cl)C(C)C
97 : CS(=O)(=O)C1=CC=C(C=C1)Br + C1=C(N=C(C=N1)Cl)N → CS(=O)(=O)C1=CC=C(C=C1)NC2=CN=CC(=N2)Cl
98 : CN1C=C(C(=N1)C(F)(F)F)N.Cl + CNC(=O)C1=CC=CC=C1NC2=CC(=NC=C2C(F)(F)F)Cl → CNC(=O)C1=CC=CC=C1NC2=CC(=NC=C2C(F)(F)F)NC3=CN(N=C3C(F)(F)F)C
99 : C1=C(C=NC=C1Br)C(F)(F)F + CN → CNC1=CN=CC(=C1)C(F)(F)F
100 : C1=C(C=NC=C1Br)C(F)(F)F + CN.Cl → CNC1=CN=CC(=C1)C(F)(F)F
101 : COC1=C(C=CC(=C1)Cl)[N+](=O)[O-] + CC(C)(C)OC(=O)N1CCNC(=O)C1 → CC(C)(C)OC(=O)N1CCN(C(=O)C1)C2=CC(=C(C=C2)[N+](=O)[O-])OC
102 : COCCOC1=CC(=CC(=C1)[N+](=O)[O-])I + C1COCCN1 → COCCOC1=CC(=CC(=C1)[N+](=O)[O-])N2CCOCC2
103 : C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC5=C4SC6=C5C=C(C=C6)OS(=O)(=O)C(F)(F)F + CC(C)(C)OC(=O)NC → CC(C)(C)OC(=O)N(C)C1=CC2=C(C=C1)SC3=C2C=CC=C3C4=CC=CC5=C4OC(=CC5=O)N6CCOCC6
104 : CC1=NN(C=C1NC2=NC=C(C(=C2)I)C(F)(F)F)C + CONC(=O)C1=CC=CC=C1N → CC1=NN(C=C1NC2=NC=C(C(=C2)NC3=CC=CC=C3C(=O)NOC)C(F)(F)F)C
105 : CC1=NN(C=C1NC2=NC=C(C(=C2)I)C(F)(F)F)C + COC1=CC=CC(=C1C(=O)NOC)N → CC1=NN(C=C1NC2=NC=C(C(=C2)NC3=C(C(=CC=C3)OC)C(=O)NOC)C(F)(F)F)C
106 : CC1=NN(C(=C1)NC2=NC=C(C(=C2)I)C(F)(F)F)C + CNC(=O)C1=C(C=CC=C1OC)N → CC1=NN(C(=C1)NC2=NC=C(C(=C2)NC3=C(C(=CC=C3)OC)C(=O)NC)C(F)(F)F)C
107 : CC1C2=C(N=C(C=C2)Cl)OC(CN1C)C3CC3 + CN1C=C(C=N1)C2=C(N=C(C=C2)N)OC → CC1C2=C(N=C(C=C2)NC3=NC(=C(C=C3)C4=CN(N=C4)C)OC)OC(CN1C)C5CC5
108 : C1=CC=C(C=C1)COC2=C(C=C(C=C2)Br)F + C1CNCCN1 → C1CN(CCN1)C2=CC(=C(C=C2)OCC3=CC=CC=C3)F
109 : C1COCCN1C2=CC(=O)N3C=CC=C(C3=N2)C4=CC=CC5=C4SC6=C5C=C(C=C6)OS(=O)(=O)C(F)(F)F + CNC(=O)CN1CCOCC1 → CN(C1=CC2=C(C=C1)SC3=C2C=CC=C3C4=CC=CN5C4=NC(=CC5=O)N6CCOCC6)C(=O)CN7CCOCC7
110 : CC1=CC(=NC2=C1CN(CC(O2)C3=NC(=CS3)C)C)Cl + CN1C=C(C=N1)C2=C(N=C(C=C2)N)OC → CC1=CC(=NC2=C1CN(CC(O2)C3=NC(=CS3)C)C)NC4=NC(=C(C=C4)C5=CN(N=C5)C)OC
111 : CC(=O)NC1=CN=C(C=N1)Br + CN1CCNCC1 → CC(=O)NC1=CN=C(C=N1)N2CCN(CC2)C
112 : C1=CN=C(C=C1Cl)Cl + C1=CC(=CN=C1)N → C1=CC(=CN=C1)NC2=NC=CC(=C2)Cl
113 : CC1=CC(=NC2=C1CN(CC(O2)C3CCCO3)C)Cl + CN1C=C(C=N1)C2=C(N=C(C=C2)N)OC → CC1=CC(=NC2=C1CN(CC(O2)C3CCCO3)C)NC4=NC(=C(C=C4)C5=CN(N=C5)C)OC
114 : CCOC(=O)C1=CC(=O)C2=C(O1)C(=CC(=C2)OC)Br + C1CN(CCN1)CC2=CC=CC=C2 → CCOC(=O)C1=CC(=O)C2=C(O1)C(=CC(=C2)OC)N3CCN(CC3)CC4=CC=CC=C4
115 : CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)Br + C1COCCN1 → CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCOCC2
116 : CC1=CC(=CC(=C1NC(=O)CC2CCCC2)C)Br + C1COCCN1 → CC1=CC(=CC(=C1NC(=O)CC2CCCC2)C)N3CCOCC3
117 : COC1=C(C=CC(=C1)Br)OCC2=CC=CC=C2 + C[C@@H]1CNCCN1C(=O)OC(C)(C)C → C[C@@H]1CN(CCN1)C2=CC(=C(C=C2)OCC3=CC=CC=C3)OC
118 : CC1=NN(C(=C1)NC2=NC=C(C(=C2)I)C(F)(F)F)C + CCONC(=O)C1=CC=CC=C1N → CCONC(=O)C1=CC=CC=C1NC2=CC(=NC=C2C(F)(F)F)NC3=CC(=NN3C)C
119 : CC1=NN(C(=C1)NC2=NC=C(C(=C2)I)C(F)(F)F)C + C1=CC=C(C(=C1)C(=O)NOCCO)N → CC1=NN(C(=C1)NC2=NC=C(C(=C2)NC3=CC=CC=C3C(=O)NOCCO)C(F)(F)F)C
120 : CN1C[C@H](OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3 + CC1=NN(C=N1)C2=CC=C(C=C2)N → CC1=NN(C=N1)C2=CC=C(C=C2)NC3=NC4=C(CN(C[C@H](O4)C5=CC=CC=C5)C)C=C3
121 : C1=CC2=C(C=C(O2)C(=O)N)C(=C1)Br + C1CNCCN1 → C1CN(CCN1)C2=C3C=C(OC3=CC=C2)C(=O)N
122 : CC1=C(C(=CC=C1)Br)[N+](=O)[O-] + CC(C)(C)OC(=O)N1CCNCC1 → CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)OC(C)(C)C)[N+](=O)[O-]
123 : C1=CC(=C(C=C1Br)F)C=O + CC(C)(C)OC(=O)N → CC(C)(C)OC(=O)NC1=CC(=C(C=C1)C=O)F
124 : C1=CC=C(C=C1)I + CC(C)(C)OC(=O)NCCC1CCNCC1 → CC(C)(C)OC(=O)NCCC1CCN(CC1)C2=CC=CC=C2
125 : CN(C)C(=O)C1=CC2=C(O1)C(=CC=C2)Br + C1CN(CCN1)CC2=CC=CC=C2 → CN(C)C(=O)C1=CC2=C(O1)C(=CC=C2)N3CCN(CC3)CC4=CC=CC=C4
126 : C1=CC=C(C=C1)Br + CC(C)(C)OC(=O)NCCC1CCNCC1 → CC(C)(C)OC(=O)NCCC1CCN(CC1)C2=CC=CC=C2
127 : C1=CC2=C(C(=C1)Br)OC=C2 + C1CN(CCN1)CCC2=CC=CC=C2 → C1CN(CCN1CCC2=CC=CC=C2)C3=CC=CC4=C3OC=C4
